,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
491,Thoucentric - Data Analyst - SQL (0-2 yrs),Thoucentric Technology Pvt. Ltd.,0-2 Yrs,0.0,2.0,,,,Bangalore / Bengaluru,60.0,hirist,3.8,89.0,"Data Analyst, Data Analytics, Data Pipeline",
492,Thoucentric -  Data Analyst (0-2 yrs),Thoucentric Technology Private Limited,0-2 Yrs,0.0,2.0,,,,Bangalore / Bengaluru,60.0,iimjobs,3.8,89.0,"Data Analytics, Analytics, SQL",
493,Data Analyst,Impressico Business Solutions Pvt. Ltd.,3-5 Yrs,3.0,5.0,₹ 3.5 - 5L/yr (AmbitionBox estimate),350000.0,500000.0,Noida,365.0,Naukri,4.5,161.0,"Data entry, Data Analyst, Finance",Estimated by Ambition Box
494,Lead Data Analyst (3-6 yrs),Grizmo Labs,3-6 Yrs,3.0,6.0,,,,Gurgaon / Gurugram,26.0,hirist,3.9,23.0,"Data Analyst, Data Analytics, SQL",
495,Senior Data Analyst,Capco Technologies Pvt Ltd,2-7 Yrs,2.0,7.0,,,,"Chennai, Pune, New Delhi
													+4 more",60.0,Naukri,3.7,424.0,"sql, data manipulation, communication skills",
496,Data Analyst,Astaguru,4-8 Yrs,4.0,8.0,,,,Mumbai,23.0,Naukri,4.1,12.0,"Data Scraping, Data Cleansing, Data Extraction",
497,Data Analyst - Python (3-8 yrs),Akshaya IT Business Solutions,,,,,,,,30.0,hirist,5.0,5.0,,
498,AI Data Analyst -Associate Tech Specialist,Essenware Private Limted,1-3 Yrs,1.0,3.0,,,,"Chennai, Pune, New Delhi
													+4 more",16.0,Naukri,4.7,4.0,"Data analysis, Usage, Project implementation",
499,Data Analyst - Investment Bank (1-3 yrs),Upgrad Rekrut,1-3 Yrs,1.0,3.0,,,,Mumbai,21.0,iimjobs,3.5,44.0,"Data Analytics, Analytics, Consulting - BFSI",
500,Data Analyst,Indium Software (India) Limited,4-9 Yrs,4.0,9.0,,,,Chennai,150.0,Naukri,4.1,698.0,"SQL, CRM, Python",
501,Data Analyst - Tableau,Indium Software (India) Limited,4-9 Yrs,4.0,9.0,,,,Chennai,180.0,Naukri,4.1,698.0,"SAN, SAS, SOC",
502,Data Analyst,Indium Software (India) Limited,2-4 Yrs,2.0,4.0,₹ 6 - 12.2L/yr (AmbitionBox estimate),600000.0,1220000.0,Hyderabad / Secunderabad,240.0,Naukri,4.1,698.0,"SQL, Monitoring, Python",Estimated by Ambition Box
503,Indium Software - Manager - Data Analytics (6-10 yrs),Indium Software,6-10 Yrs,6.0,10.0,,,,Bangalore / Bengaluru,120.0,hirist,4.1,698.0,"Data Analytics, Data Analyst, SQL",
504,Indium Software - Data Analyst - SQL/SAS/Python (3-7 yrs),Indium Software,3-7 Yrs,3.0,7.0,,,,Bangalore / Bengaluru,120.0,hirist,4.1,698.0,"SQL, SAS, R",
505,Data Analyst,Indium Software (India) Limited,4-9 Yrs,4.0,9.0,,,,Chennai,180.0,Naukri,4.1,698.0,"IT services, tableau, SAS",
506,Data Analyst,Indium Software (India) Limited,5-10 Yrs,5.0,10.0,,,,Hyderabad / Secunderabad,240.0,Naukri,4.1,698.0,"Data Analyst, SQL, CRM",
507,Data Analyst,Indium Software (India) Limited,2-4 Yrs,2.0,4.0,₹ 6 - 12.2L/yr (AmbitionBox estimate),600000.0,1220000.0,Hyderabad / Secunderabad,240.0,Naukri,4.1,698.0,"Data Analyst, SQL, CRM",Estimated by Ambition Box
508,Data Analyst,Indium Software (India) Limited,4-9 Yrs,4.0,9.0,,,,Bangalore / Bengaluru,240.0,Naukri,4.1,698.0,"Data Analyst, CRM, Python",
509,Data Analyst - R/Python (2-8 yrs),SolarSquare Energy,2-8 Yrs,2.0,8.0,,,,Mumbai,17.0,hirist,3.2,81.0,"Data Analyst, Data Mining, Data Visualization",
510,C2FO - Data Analyst (0-4 yrs),C2FO,0-4 Yrs,0.0,4.0,,,,Noida,26.0,hirist,3.6,53.0,Data Analyst,
511,Data Analyst (US Real Estate Data Experience),Batchservice,3-6 Yrs,3.0,6.0,,,,Bangalore / Bengaluru,23.0,Naukri,3.2,9.0,"Pyspark, Aws Cloud, Big Data",
512,Data Analyst - Bank (3-5 yrs),Dimensions HRD Consultants,3-5 Yrs,3.0,5.0,,,,Delhi ncr,10.0,iimjobs,3.4,20.0,"Data Analytics, Analytics, Consulting - BFSI",
513,Data Analyst - Data Visualization (3-8 yrs),HuQuo Consulting Pvt. Ltd.,3-8 Yrs,3.0,8.0,,,,Gurgaon / Gurugram,16.0,hirist,3.8,14.0,"Data Analyst, Data Analytics, Data Visualization",
514,Data Analyst - Technology Consulting,Tiger Analytics,5-8 Yrs,5.0,8.0,,,,"Chennai, Bangalore / Bengaluru, Hyderabad / Secunderabad",60.0,Naukri,3.5,504.0,"Data Analyst, SQL, Oracle",
515,Course5 Intelligence - Data Engineer - Python/PySpark (5-10 yrs),Course 5 Intelligence,5-10 Yrs,5.0,10.0,,,,Bangalore / Bengaluru,60.0,hirist,4.1,332.0,"Data Management, Data Analyst, Data Analytics",
516,Data Analyst -  Financial Business (5-10 yrs),RightMatch,5-10 Yrs,5.0,10.0,,,,Mumbai,30.0,iimjobs,4.2,7.0,"Data Analytics, Consulting - BFSI, Analytics",
517,Data Analyst - Dashboard Design (2-5 yrs),OUTSIZED INDIA PRIVATE LIMITED,,,,,,,,4.0,hirist,4.2,4.0,,
518,Data Analyst - Global Consulting Firm - Dashboards/Coding Macros - Contractual Role (2-10 yrs),Outsized India Private Limited,,,,,,,,4.0,iimjobs,4.2,4.0,,
519,Data Analyst - SQL/SSIS (5-20 yrs),Aricent,5-20 Yrs,5.0,20.0,,,,"Bangalore / Bengaluru, Karnataka, Mysuru / Mysore",30.0,hirist,3.6,2000.0,"Data Analyst, Data Analytics, SQL",
520,Data Analyst,Tibil Solutions,2-3 Yrs,2.0,3.0,₹ 4 - 6.4L/yr (AmbitionBox estimate),400000.0,640000.0,Bangalore / Bengaluru,30.0,Naukri,3.6,29.0,"Data Analyst, power bi, Usage",Estimated by Ambition Box
521,Data Analyst (MDM/Data Warehousing) || Work FROM Home,Thoughtstorm Technologies,6-11 Yrs,6.0,11.0,,,,Faridabad,16.0,Naukri,5.0,3.0,"Informatica Mdm, Power Bi, MDM",
522,Data Analyst II,Chubb,3-5 Yrs,3.0,5.0,,,,Bangalore / Bengaluru,90.0,Naukri,3.8,128.0,"Data analysis, Data management, Db2",
